title,price,rating,reviews,description,Manufacturer,ASIN_number
"uppercase Apex Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","1,800",4.3 out of 5 stars,68 ratings,,Acefour Accessories Pvt. Ltd.,B0BWNBQXDZ
"uppercase Matrix Professional Anti-theft Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","2,300",4.3 out of 5 stars,54 ratings,,Acefour Accessories Pvt. Ltd.,B0BSH4H4DB
American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK),"1,199",4.0 out of 5 stars,"55,016 ratings",,,
Skybags Brat Black 46 Cms Casual Backpack,669,4.1 out of 5 stars,"5,211 ratings","Ideal for a college student who does not carry a lot of books or laptop to college. Very stylish, slim and feature loaded Backpack",VIP Industries Ltd,B08Z1HHHTD
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),598,4.3 out of 5 stars,"11,877 ratings",,,
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,849,3.9 out of 5 stars,"3,247 ratings","This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover.",Amazing Bags,B09VCLZ3K4
"Half Moon 35 Ltrs Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",649,3.9 out of 5 stars,"16,622 ratings",,Amazing Bags,B085MHDJ93
Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women (Brown),987,4.4 out of 5 stars,"5,928 ratings","Gear bags are designed for the quick commute as well for the long journey. these backpacks can be used as laptop bags,adventure bags and so on. Your favorite travel companion, The backpacks come with enough storage space to carry all your requirements.",Gear Merchandise PVT LTD,B07G4F6XFH
"American Tourister VALEX BLACK LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","1,299",4.3 out of 5 stars,584 ratings,"A backpack isn’t just a bag. It’s a cache, a case, a mobile base of sorts. And it is a reflection of the care you’ve put into selecting the ideal loadout of items to keep on you. Introducing Valex, a modern everyday backpacks collections are available in a variety of nice looking colours to express your true self",EXPERTS,B0BTD4S4XF
Gear Cello 30 Ltrs Black Laptop Backpack (LBPASPIRE0104),"1,125",4.4 out of 5 stars,"5,928 ratings",,Gear Merchandise PVT LTD,B075MK4TXP
"WALKENT 15.6"" Laptop Bags with Special Waterproof Silk Polyester Material for Office, College, Men & Women (Model Hazel, 20 Liters, Black)","1,990",Previous page,,"Looking for a stylish and practical laptop bag? Look no further than WALKENT'S HAZEL laptop bag! Our Hazel bag features a sleek and modern design, while still providing all the functionality you need to stay organized and comfortable throughout your day. Here are some of its key features:✅ Waterproof and scratch resistant Special New Silk Polyester outer material that keeps your belongings safe from the elements✅ A spacious 20-liter capacity and lightweight 800-gram design make this bag perfect for daily use, whether you're commuting to work or heading to class✅ Side bottle pocket for easy access to your drink, as well as front pockets and organizer pockets inside the bag to keep all of your essentials at hand✅ Cushioned shoulder straps and laptop compartment keep you comfortable and your laptop protected✅ Trolley strap allows you to attach the Hazel to your luggage for easy transportationDon't settle for a boring, uninspired laptop bag. Upgrade to Walkent's Hazel bag and enjoy both style and functionality. It's the perfect choice for anyone looking for a premium quality laptop bag for office or college use, whether you're a man or a woman.",Walkent OEM,B0C7KP5BT4
EUME Tourismo 36L Laptop Backpack Bag with 2 Large Compartment for Work Office & Business Travel for Men & Women | Water Resistance | Fit Up to 16 Inch Laptop,"2,499",4.4 out of 5 stars,7 ratings,,EUME Lifetsyle Pvt Ltd,B0B4JNV37M
"MosQuick® Clear large Drawstring Bags Clear Plastic Travel Bags, Travel Garments Organizing Storage Plastic Bags ,Shoe bags , Stationery Bag,multipurpose bag - Translucent",420,4.0 out of 5 stars,69 ratings,,B09SB5DP5Y,Draw String Bag 30x40 set of 10
"Presto! Oxo-Biodegradable Garbage Bags, Large (24 x 32 inches) - 15 bags/roll (Pack of 6, Black, plastic)",,4.3 out of 5 stars,"29,924 ratings","Presto! offers Oxo-Biodegradable Garbage Bags to help you maintain cleanliness and hygiene in your house, office and surroundings. These garbage bags make clean-up and garbage disposal a hassle-free task while being easy on the environment! Large in size, they easily fit any large dustbins, allowing you to clean out overflowing trash. Or store away old clothes for donation or clear out your yard, garden or basement. Handy at offices or hotels, they’re useful for getting rid of leftover party plates and garbage as well. They come with a detachable tie-tape which lets you neatly tie up the bag, making it easier to carry out after use. They are available in black colour in a pack of 6 rolls, and each roll contains 15 bags for your convenience.",Narendar Plastics Pvt.Ltd,B0821PYKVK
AmazonBasics Laptop Backpack,709,4.2 out of 5 stars,652 ratings,,,
Blue Tree Kids Backpack Mini Travel Bag 1-6 Years Cow,298,4.0 out of 5 stars,377 ratings,,,
"AmazonBasics Zippered Storage Bag with Window, Rectangular",619,4.3 out of 5 stars,"1,719 ratings",,,
Blue Tree Velvet Kids School/Nursery/Picnic/Carry/Travelling Bag - 2 to 5 Age (_Best_Red_Strawberry),285,4.0 out of 5 stars,217 ratings,,,
Blue Tree Velvet Kids School/Nursery/Picnic/Carry/Travelling Bag - 2 to 5 Age (Best_Blue-Rabbit)Pack of 1,298,4.2 out of 5 stars,82 ratings,,,
"AmazonBasics Vacuum Compression Storage Bags with Hand Pump - Large, 5-Pack",689,4.5 out of 5 stars,"10,421 ratings",,,
"TRUE HUMAN Emperor Anti-Theft backpack With USB charging Port Laptop Bag, Office bag, college bag and anti -theft back pocket (Black)",689,3.8 out of 5 stars,"2,327 ratings",,B09QJ7ZF2Y,LEGEND-1
NORTH ZONE Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L,630,4.0 out of 5 stars,486 ratings,"Care Instructions: Do not expose to extreme heat The Hype 1 Casual Backpack from Northzone Sport features an elegant look and feel. It is a perfect every day carry for speedy city commutes, college or school. Keeping it unique and stylish, this Northzone backpack features a versatile shaded design with the Northzone logo print on the face of the bag. Sturdy, spacious and elegant are the spirit of this backpack. Plenty of Space & Pockets: This college bags for girls and boys features two spacious compartments that can each fit book, iPad, A4 size files, lunch box, light clothes, school supplies & accessories. It also features a zip compartment with multiple organizer pockets for keys, pens, pencils, cell phone, power bank, etc. The twin mesh pockets on each side helps pack in a water bottle and a compact umbrella. Lightweight & Sturdy: This school bags for girls and boys features a multi ventilated 10mm robust mesh padding that provides maximum back support. The straps are breathable, padded and adjustable that helps to relieve the stress on your shoulder. The top of the backpack features a webbing loop top handle that helps in carrying the backpack with ease. External Dimension: Length – 33cm, Width – 21cm, Height – 49cm, Weight – 1,000 grams. Capacity – 34 litres. Laptop Compatibility – yes",SHABA BAGS,B0BS6QQZYN
Half Moon Aztec 37L School Bag Class 5-12 | College Bagpack for Men/College Back pack for Women | 15.6 inch Laptop Bag for Men/Backpack for Men | Spacious & Multiple Pockets,649,3.6 out of 5 stars,162 ratings,,Half_Moon,B0C23Z9W18
Northzone Lightweight school bags Backpacks for Boys Girls Stylish men and women Casual Travel Laptop Bag College office (Black) 40L,549,4.0 out of 5 stars,125 ratings,"NORTHZONE BACKPACK If you carry your laptop to and from work, then this laptop bag from Northzone will definitely make travelling easier. Compatibility This backpack can fit a 38.1 cm laptop comfortably. Compartments This bag has three spacious compartments to store the laptop, charger, external devices, and other accessories with ease. Pockets The two mesh pockets on either sides of this black and blue backpack allow you to store a water bottle, ID card and other knick-knacks, so you can access them easily.",Northzone,B0BL3TVDK6
ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),499,3.9 out of 5 stars,"1,030 ratings",,ADISA,B09TPX22NF
Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,224,3.7 out of 5 stars,"6,852 ratings",,17-Dec-15,Gear Merchandise PVT LTD
"Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps",839,4.3 out of 5 stars,"3,740 ratings",,,
HAMMONDS FLYCATCHER Laptop Bag for Men - Genuine Leather Messenger Shoulder Bag - Fits 14/15.6/16 Inch Laptops - Brown Office Bag - Multiple Pockets -Water Resistant -Executive Bag for Work and Travel,"5,255",4.4 out of 5 stars,572 ratings,,Hindustan Foam,B083M1QK32
BetterShine Floral Printed Waterproof Backpack For Girls&Boys 25 Litre With Laptop Compartment,699,Previous page,,"We Presents Printed Stylish Backpack for Boys And Girls with Standard Size and Suitable in All Places and Made by Strenthen Material Polyster Waterproof . And Useful For College ,School , Kids , Coaching Purpose Etc. Best Comfortable For in All Condition.Pen Pocket and Card Pocket Available. Laptop Compartment Also Available.",Samayara Creation And Fashion Jaipur,B0CC2PSGHK
"WALKENT 15.6"" Laptop Bag with Side Bottle Pockets, Waterproof Canvas Backpack for Men & Women (Model Mystic, 32 Liters)","3,490",Previous page,,"The WALKENT MYSTIC Laptop Bag is your perfect companion for all your daily adventures! This stylish and durable backpack is designed to keep up with your busy lifestyle, whether you're heading to the office or hitting the books at college. Here are the features that make the Mystic stand out:◾Made with waterproof and scratch-resistant cotton canvas material, so your belongings stay safe and dry no matter the weather◾ With a spacious 32-liter capacity, the Mystic can easily carry all your essentials and more, making it perfect for daily use or even short trips◾ Cushioned shoulder straps and a padded laptop compartment ensure that your back and devices stay comfortable and protected throughout the day◾ Multiple organizer pockets inside the bag keep your belongings neatly organized and easily accessible, so you never have to rummage through your bag to find what you need◾ The drawstring and flap closure add an extra layer of security and keep your items tightly securedWhether you're a man or woman, the Mystic's stylish and minimalist design makes it a versatile choice for any occasion. Don't settle for a basic backpack - choose the Walkent Mystic for a premium and stylish option that meets all your needs!",Walkent OEM,B0C7KTMCFL
